"time","wallTime","wc2.out","wc1.out"
0.337,1.67551,1.17724,0.571303
0.338,1.67555,1.17641,0.569812
0.339,1.67558,1.17558,0.568321
0.34,1.67586,1.17475,0.56683
0.341,1.6759,1.17353,0.564953
0.342,1.67593,1.17231,0.563077
0.343,1.67596,1.17108,0.561201
0.344,1.676,1.16986,0.559324
0.345,1.67628,1.16864,0.557448
0.346,1.67632,1.16693,0.555145
0.347,1.67635,1.16521,0.552841
0.348,1.67639,1.1635,0.550538
0.349,1.67642,1.16179,0.548234
0.35,1.67669,1.16007,0.545931
0.351,1.67673,1.15777,0.543162
0.352,1.67676,1.15547,0.540392
0.353,1.67679,1.15317,0.537623
0.354,1.67682,1.15087,0.534853
0.355,1.67714,1.14857,0.532084
0.356,1.67717,1.14559,0.528814
0.357,1.6772,1.14261,0.525543
0.358,1.67723,1.13962,0.522273
0.359,1.67727,1.13664,0.519002
0.36,1.67757,1.13366,0.515732
0.361,1.67762,1.12991,0.51193
0.362,1.67766,1.12615,0.508127
0.363,1.67769,1.1224,0.504325
0.364,1.67772,1.11865,0.500522
0.365,1.67804,1.1149,0.49672
0.366,1.67807,1.11029,0.492359
0.367,1.67811,1.10568,0.487998
0.368,1.67814,1.10108,0.483637
0.369,1.67818,1.09647,0.479276
0.37,1.67848,1.09186,0.474915
0.371,1.67852,1.08632,0.469973
0.372,1.67855,1.08078,0.465032
0.373,1.67858,1.07525,0.460091
0.374,1.67862,1.06971,0.45515
0.375,1.67888,1.06417,0.450209
0.376,1.67891,1.05763,0.444671
0.377,1.67894,1.05109,0.439133
0.378,1.67898,1.04455,0.433595
0.379,1.67901,1.038,0.428058
0.38,1.67938,1.03146,0.42252
0.381,1.67946,1.02386,0.416375
0.382,1.67952,1.01625,0.41023
0.383,1.67956,1.00865,0.404084
0.384,1.6796,1.00104,0.397939
0.385,1.68007,0.993439,0.391794
0.386,1.68011,0.984717,0.385036
0.387,1.68016,0.975995,0.378278
0.388,1.68019,0.967273,0.37152
0.389,1.68023,0.958551,0.364762
0.39,1.68056,0.949829,0.358004
0.391,1.68059,0.939947,0.350634
0.392,1.68063,0.930064,0.343264
0.393,1.68066,0.920182,0.335894
0.394,1.68071,0.9103,0.328524
0.395,1.681,0.900417,0.321154
0.396,1.68103,0.889342,0.313178
0.397,1.68107,0.878266,0.305203
0.398,1.6811,0.867191,0.297227
0.399,1.68113,0.856115,0.289252
0.4,1.68145,0.84504,0.281276
0.401,1.68148,0.83275,0.272708
0.402,1.68151,0.820459,0.264139
0.403,1.68155,0.808169,0.25557
0.404,1.68158,0.795878,0.247002
0.405,1.6819,0.783588,0.238433
0.406,1.68194,0.770072,0.22929
0.407,1.68197,0.756556,0.220147
0.408,1.68201,0.74304,0.211004
0.409,1.68204,0.729524,0.201861
0.41,1.68234,0.716008,0.192718
0.411,1.68237,0.701268,0.183025
0.412,1.68241,0.686528,0.173332
0.413,1.68244,0.671788,0.163639
0.414,1.68248,0.657048,0.153946
0.415,1.68276,0.642308,0.144253
0.416,1.6828,0.626357,0.13404
0.417,1.68284,0.610406,0.123828
0.418,1.68287,0.594454,0.113615
0.419,1.6829,0.578503,0.103402
0.42,1.68323,0.562552,0.0931891
0.421,1.68326,0.545415,0.0824922
0.422,1.6833,0.528278,0.0717953
0.423,1.68333,0.511141,0.0610984
0.424,1.68336,0.494004,0.0504015
0.425,1.68368,0.476867,0.0397046
0.426,1.68372,0.458581,0.0285647
0.427,1.68376,0.440295,0.0174248
0.428,1.68379,0.422009,0.00628486
0.429,1.68382,0.403723,-0.00485506
0.43,1.68415,0.385437,-0.015995
0.431,1.68418,0.366051,-0.0275318
0.432,1.68422,0.346665,-0.0390687
0.433,1.68426,0.327279,-0.0506055
0.434,1.6843,0.307893,-0.0621423
0.435,1.68459,0.288507,-0.0736792
0.436,1.68463,0.268081,-0.0855622
0.437,1.68466,0.247655,-0.0974453
0.438,1.6847,0.22723,-0.109328
0.439,1.68474,0.206804,-0.121211
0.44,1.68504,0.186378,-0.133094
0.441,1.68508,0.164984,-0.145269
0.442,1.68512,0.143591,-0.157443
0.443,1.68515,0.122197,-0.169617
0.444,1.68518,0.100803,-0.181792
0.445,1.6855,0.0794092,-0.193966
0.446,1.68553,0.0571294,-0.206373
0.447,1.68557,0.0348495,-0.218779
0.448,1.6856,0.0125697,-0.231186
0.449,1.68563,-0.00971011,-0.243593
0.45,1.68598,-0.0319899,-0.255999
0.451,1.68601,-0.0550636,-0.268577
0.452,1.68605,-0.0781373,-0.281154
0.453,1.68609,-0.101211,-0.293731
0.454,1.68612,-0.124285,-0.306308
0.455,1.68645,-0.147358,-0.318885
0.456,1.68648,-0.171124,-0.331567
0.457,1.68651,-0.194891,-0.34425
0.458,1.68655,-0.218657,-0.356933
0.459,1.68659,-0.242423,-0.369615
0.46,1.68704,-0.266189,-0.382298
0.461,1.68708,-0.290537,-0.395019
0.462,1.68711,-0.314886,-0.40774
0.463,1.68714,-0.339234,-0.42046
0.464,1.68718,-0.363583,-0.433181
0.465,1.68753,-0.387932,-0.445902
0.466,1.68757,-0.412745,-0.458593
0.467,1.6876,-0.437559,-0.471283
0.468,1.68764,-0.462372,-0.483974
0.469,1.68767,-0.487185,-0.496664
0.47,1.68805,-0.511999,-0.509355
0.471,1.68809,-0.537153,-0.521945
0.472,1.68815,-0.562307,-0.534535
0.473,1.68818,-0.587461,-0.547125
0.474,1.68822,-0.612616,-0.559715
0.475,1.68855,-0.63777,-0.572306
0.476,1.6886,-0.663135,-0.584725
