"time","wallTime","source2.y","source1.y","adder.y"
0.5424,0.859553,0.516193,0.516193,1.0323
0.5425,0.859619,0.516279,0.516279,1.03247
0.5426,0.859714,0.516364,0.516364,1.03264
0.5427,0.859809,0.51645,0.51645,1.03281
0.5428,0.859873,0.516536,0.516536,1.03299
0.5429,0.859956,0.516621,0.516621,1.03316
0.543,0.860041,0.516707,0.516707,1.03333
0.5431,0.860156,0.516792,0.516792,1.0335
0.5432,0.860252,0.516878,0.516878,1.03367
0.5433,0.860361,0.516964,0.516964,1.03384
0.5434,0.860452,0.517049,0.517049,1.03401
0.5435,0.860556,0.517135,0.517135,1.03418
0.5436,0.860631,0.51722,0.51722,1.03436
0.5437,0.860756,0.517306,0.517306,1.03453
0.5438,0.860833,0.517392,0.517392,1.0347
0.5439,0.860907,0.517477,0.517477,1.03487
0.544,0.861007,0.517563,0.517563,1.03504
0.5441,0.861092,0.517648,0.517648,1.03521
0.5442,0.861176,0.517734,0.517734,1.03538
0.5443,0.861264,0.517819,0.517819,1.03555
0.5444,0.861361,0.517905,0.517905,1.03572
0.5445,0.861465,0.51799,0.51799,1.0359
0.5446,0.861557,0.518076,0.518076,1.03607
0.5447,0.86166,0.518162,0.518162,1.03624
0.5448,0.86175,0.518247,0.518247,1.03641
0.5449,0.861838,0.518333,0.518333,1.03658
0.545,0.861899,0.518418,0.518418,1.03675
0.5451,0.861984,0.518504,0.518504,1.03692
0.5452,0.862072,0.518589,0.518589,1.03709
0.5453,0.862168,0.518675,0.518675,1.03726
0.5454,0.862266,0.51876,0.51876,1.03743
0.5455,0.86236,0.518846,0.518846,1.03761
0.5456,0.862424,0.518931,0.518931,1.03778
0.5457,0.862533,0.519017,0.519017,1.03795
0.5458,0.862614,0.519102,0.519102,1.03812
0.5459,0.862704,0.519187,0.519187,1.03829
0.546,0.862776,0.519273,0.519273,1.03846
0.5461,0.862831,0.519358,0.519358,1.03863
0.5462,0.862868,0.519444,0.519444,1.0388
0.5463,0.862899,0.519529,0.519529,1.03897
0.5464,0.862925,0.519615,0.519615,1.03914
0.5465,0.862958,0.5197,0.5197,1.03931
0.5466,0.862987,0.519786,0.519786,1.03949
0.5467,0.863007,0.519871,0.519871,1.03966
0.5468,0.86303,0.519956,0.519956,1.03983
0.5469,0.86305,0.520042,0.520042,1.04
0.547,0.863073,0.520127,0.520127,1.04017
0.5471,0.863091,0.520213,0.520213,1.04034
0.5472,0.863114,0.520298,0.520298,1.04051
0.5473,0.863135,0.520384,0.520384,1.04068
0.5474,0.863161,0.520469,0.520469,1.04085
0.5475,0.86318,0.520554,0.520554,1.04102
0.5476,0.863196,0.52064,0.52064,1.04119
0.5477,0.863216,0.520725,0.520725,1.04136
0.5478,0.863241,0.52081,0.52081,1.04154
0.5479,0.863262,0.520896,0.520896,1.04171
0.548,0.863279,0.520981,0.520981,1.04188
0.5481,0.863302,0.521066,0.521066,1.04205
0.5482,0.863321,0.521152,0.521152,1.04222
0.5483,0.863337,0.521237,0.521237,1.04239
0.5484,0.863358,0.521323,0.521323,1.04256
0.5485,0.863378,0.521408,0.521408,1.04273
0.5486,0.863401,0.521493,0.521493,1.0429
0.5487,0.863421,0.521579,0.521579,1.04307
0.5488,0.863443,0.521664,0.521664,1.04324
0.5489,0.863465,0.521749,0.521749,1.04341
0.549,0.863486,0.521834,0.521834,1.04358
0.5491,0.863508,0.52192,0.52192,1.04375
0.5492,0.863528,0.522005,0.522005,1.04392
0.5493,0.863551,0.52209,0.52209,1.0441
0.5494,0.863572,0.522176,0.522176,1.04427
0.5495,0.863598,0.522261,0.522261,1.04444
0.5496,0.86362,0.522346,0.522346,1.04461
0.5497,0.86364,0.522431,0.522431,1.04478
0.5498,0.863662,0.522517,0.522517,1.04495
